
TEST 1 x -> 7*x^5 + 2*x^4 + 3*x^3 - 12* - 2 na [-1,1]
QUADGK : int_a^b f dx = 48.800000000000

SIMPSON
18	30
20	30
22	30
24	Inf
26	30
28	Inf
30	30
32	Inf
34	30
36	30
38	30
40	30
42	30
44	30
46	30
48	Inf
50	Inf

TRAPEZY
2	-4
4	-3
6	-2
8	-1
10	-1
12	-1
14	0
16	0
18	0
20	0
22	1
24	1
26	1
28	1
30	1
32	1
34	1
36	2
38	2
40	2
42	2
44	2
46	2
48	2
50	2

LOSOWE
2	-6	-6
4	-4	-2
6	-3	-6
8	-4	-5
10	-2	-5
12	-2	-4
14	-3	-5
16	-2	-5
18	-2	-5
20	-1	-3
22	-1	-3
24	-1	-4
26	-1	-5
28	-1	-4
30	0	-3
32	0	-3
34	0	-4
36	0	-3
38	0	-3
40	0	-4
42	0	2
44	0	-1
46	0	-3
48	0	-2
50	0	-5
52	1	-3
54	1	-3
56	1	-4
58	1	0
60	1	-3
62	1	-2
64	1	-2
66	1	-3
68	1	-2
70	1	-1
72	1	-3
74	1	-4
76	1	-4
78	1	-4
80	2	-4
82	1	-2
84	2	-2
86	1	-4
88	2	-3
90	2	0
92	2	0
94	2	-2
96	2	-4
98	2	-2
100	2	-2
102	2	-1
104	2	0
106	2	-2
108	2	-2
110	2	-2
112	2	1
114	2	-3
116	2	-2
118	2	-4
120	2	-3
122	3	-1
124	2	-2
126	2	-3
128	2	-2
130	2	0
132	2	-2
134	2	-2
136	3	-2
138	3	-1
140	3	-4
142	2	-2
144	3	-3
146	3	-2
148	3	-2
150	3	-4
152	3	-2
154	3	-2
156	3	2
158	3	0
160	3	-1
162	3	-1
164	3	-2
166	3	-1
168	3	0
170	3	-2
172	3	-3
174	3	-3
176	3	-3
178	3	-2
180	3	-1
182	3	-2
184	3	-2
186	3	-1
188	3	-1
190	3	-3
192	3	0
194	3	-2
196	3	-3
198	3	-2
200	3	-1

TEST 5 x -> 1/(1-x-x^2) na [-1, 0.5]
QUADGK : int_a^b f dx = 1.721635763856

SIMPSON
2	1
4	2
6	3
8	4
10	4
12	5
14	5
16	6
18	6
20	7
22	7
24	7
26	7
28	8
30	8
32	8
34	8
36	9
38	9
40	9
42	9
44	9
46	10
48	10
50	10

TRAPEZY
2	0
4	1
6	1
8	2
10	2
12	3
14	3
16	3
18	3
20	4
22	4
24	4
26	4
28	4
30	4
32	5
34	5
36	5
38	5
40	5
42	5
44	5
46	5
48	5
50	6

LOSOWE
2	-1	-1
4	1	0
6	1	1
8	1	0
10	2	0
12	2	2
14	2	1
16	2	1
18	3	0
20	3	3
22	4	2
24	3	3
26	3	1
28	4	2
30	4	2
32	2	1
34	4	2
36	3	1
38	4	2
40	4	1
42	4	1
44	4	3
46	5	4
48	4	2
50	4	1
52	5	4
54	4	1
56	5	1
58	5	2
60	5	2
62	4	3
64	3	1
66	5	3
68	5	2
70	5	2
72	5	2
74	6	3
76	4	2
78	6	3
80	6	2
82	4	2
84	5	2
86	5	3
88	5	2
90	5	1
92	5	3
94	5	2
96	6	3
98	5	4
100	4	3
102	5	2
104	5	2
106	6	3
108	6	3
110	6	3
112	5	1
114	5	4
116	6	3
118	6	2
120	6	5
122	6	2
124	6	3
126	6	4
128	6	3
130	6	3
132	5	1
134	6	3
136	6	2
138	5	1
140	7	3
142	6	7
144	6	4
146	6	2
148	6	2
150	6	2
152	5	2
154	7	3
156	6	3
158	7	2
160	6	4
162	6	2
164	6	3
166	7	2
168	6	2
170	7	3
172	7	2
174	7	2
176	7	4
178	7	5
180	6	4
182	7	3
184	7	4
186	7	5
188	7	3
190	7	4
192	7	5
194	7	3
196	7	4
198	6	2
200	6	2

TEST 6 x -> 7*x^5 + 2*x^4 + 3*x^3 - 12* - 2QUADGK : int_a^b f dx = 2.978903134237

SIMPSON
2	1
4	2
6	3
8	4
10	4
12	5
14	5
16	6
18	6
20	6
22	7
24	7
26	7
28	8
30	8
32	8
34	8
36	9
38	9
40	9
42	9
44	9
46	10
48	10
50	10

TRAPEZY
2	1
4	2
6	2
8	2
10	3
12	3
14	3
16	4
18	4
20	4
22	4
24	4
26	5
28	5
30	5
32	5
34	5
36	5
38	5
40	5
42	6
44	6
46	6
48	6
50	6

LOSOWE
2	0	-2
4	1	-2
6	1	1
8	6	0
10	0	0
12	2	1
14	5	2
16	3	0
18	3	2
20	3	0
22	4	4
24	7	1
26	4	1
28	4	1
30	5	3
32	7	3
34	4	1
36	4	3
38	4	1
40	4	4
42	6	1
44	4	2
46	4	4
48	6	4
50	5	1
52	4	3
54	4	3
56	4	0
58	6	1
60	4	1
62	5	2
64	7	4
66	9	2
68	6	2
70	7	1
72	6	2
74	8	4
76	9	3
78	6	2
80	5	1
82	4	1
84	5	3
86	5	1
88	5	3
90	7	6
92	5	2
94	4	1
96	6	2
98	5	2
100	7	1
102	8	4
104	7	3
106	7	6
108	7	2
110	6	3
112	6	3
114	6	4
116	8	3
118	7	3
120	5	4
122	8	2
124	6	2
126	8	7
128	6	3
130	6	3
132	6	2
134	4	1
136	7	5
138	7	4
140	6	3
142	6	5
144	6	2
146	6	2
148	7	3
150	5	2
152	7	3
154	6	4
156	7	3
158	7	5
160	8	5
162	8	2
164	10	5
166	5	3
168	7	2
170	6	1
172	6	4
174	10	3
176	10	3
178	8	3
180	9	3
182	8	4
184	7	4
186	8	3
188	7	3
190	8	3
192	7	3
194	6	1
196	7	3
198	7	3
200	7	5
